Squad,# Pl_trabalho,90s_trabalho,T_Cmp_trabalho,T_Att_trabalho,Cmp%_trabalho,TotDist_trabalho,PrgDist_trabalho,S_Cmp_trabalho,S_Att_trabalho,S_Cmp%_trabalho,M_Cmp_trabalho,M_Att_trabalho,Cmp%.1_trabalho,L_Cmp_trabalho,L_Att_trabalho,Cmp%.2_trabalho,Ast_trabalho,xAG_trabalho,xA_trabalho,A-xAG_trabalho,KP_trabalho,01/mar_trabalho,PPA_trabalho,CrsPA_trabalho,PrgP_trabalho,Pos_trabalho,Points_trabalho,GlsF_trabalho,GlsC_trabalho,# Pl_chutes,90s_chutes,Gls_chutes,Sh_chutes,SoT_chutes,SoT%_chutes,Sh/90_chutes,SoT/90_chutes,G/Sh_chutes,G/SoT_chutes,Dist_chutes,FK_chutes,PK_chutes,PKatt_chutes,xG_chutes,npxG_chutes,npxG/Sh_chutes,G-xG_chutes,np:G-xG_chutes,# Pl_passes,90s_passes,Att_passes,P_Live_passes,P_Dead_passes,P_FK_passes,P_TB_passes,P_Sw_passes,P_Crs_passes,P_TI_passes,P_CK_passes,C_In_passes,C_Out_passes,C_Str_passes,P_Cmp_passes,P_Off_passes,P_Blocks_passes,# Pl_criacao,90s_criacao,SCA_criacao,SCA90_criacao,S_PassLive_criacao,S_PassDead_criacao,S_TO_criacao,S_Sh_criacao,S_Fld_criacao,S_Def_criacao,GCA_criacao,GCA90_criacao,G_PassLive_criacao,G_PassDead_criacao,G_TO_criacao,G_Sh_criacao,G_Fld_criacao,G_Def_criacao,# Pl_defensivas,90s_defensivas,Tkl_defensivas,TklW_defensivas,Def 3rd_defensivas,Mid 3rd_defensivas,Att 3rd_defensivas,Tkl.1_defensivas,Att_defensivas,Tkl%_defensivas,Lost_defensivas,Blocks_defensivas,Sh_defensivas,Pass_defensivas,Int_defensivas,Tkl+Int_defensivas,Clr_defensivas,Err_defensivas
ATG,40,31.0,329.4,424.7,77.6,6288.4,2374.6,130.7,152.2,85.9,146.9,173.9,84.5,43.3,76.1,56.9,0.39,0.74,0.82,-0.35,10.5,33.8,7.39,2.81,38.2,20,22,23,50,40,31.0,0.71,13.8,4.32,31.4,13.77,4.32,0.04,0.14,18.9,0.29,0.1,0.16,1.09,0.96,0.07,-0.38,-0.35,40,31.0,424.7,377.3,46.1,11.9,0.52,3.77,20.7,19.2,4.58,1.68,2.13,0.13,329.4,1.23,8.48,40,31.0,24.5,24.45,16.9,2.84,1.0,1.65,1.61,0.45,1.03,1.03,0.55,0.1,0.03,0.23,0.13,0.0,40,31.0,15.8,9.84,7.23,6.52,2.03,6.45,14.9,43.2,8.48,11.5,3.81,7.71,9.13,24.9,20.9,0.19
ATM,35,30.0,450.2,541.1,83.2,8049.5,2701.4,199.9,221.3,90.3,195.9,222.1,88.2,46.0,76.5,60.2,0.7,0.71,0.88,-0.01,9.63,37.3,8.0,2.43,43.0,10,41,42,45,35,30.0,1.4,13.8,4.1,29.7,13.8,4.1,0.08,0.26,21.5,1.23,0.33,0.37,1.26,0.98,0.07,0.14,0.09,35,30.0,541.1,497.1,42.2,12.2,0.67,4.8,19.4,16.6,4.77,1.67,1.23,0.3,450.2,1.73,7.3,35,30.0,25.4,25.4,18.8,1.7,1.23,1.6,1.77,0.3,2.27,2.27,1.43,0.13,0.07,0.27,0.37,0.0,35,30.0,18.6,11.6,8.57,7.57,2.47,8.87,16.1,55.1,7.23,9.5,3.0,6.5,8.37,27.0,18.8,0.13
ATP,30,30.0,366.7,463.4,79.1,6928.9,2490.0,146.1,167.0,87.5,171.6,199.8,85.9,42.7,76.2,56.0,0.9,1.01,0.99,-0.11,11.9,33.9,8.83,2.73,42.2,16,34,32,37,30,30.0,1.03,15.8,4.87,30.7,15.83,4.87,0.06,0.21,18.3,0.53,0.03,0.03,1.27,1.24,0.08,-0.23,-0.24,30,30.0,463.4,416.2,45.9,11.8,0.8,3.63,21.9,18.3,6.4,2.2,2.73,0.07,366.7,1.27,7.6,30,30.0,27.6,27.57,20.2,2.67,1.47,1.43,1.17,0.63,1.93,1.93,1.6,0.07,0.07,0.1,0.07,0.03,30,30.0,17.3,10.9,7.2,7.7,2.4,6.93,16.0,43.2,9.1,12.1,3.7,8.43,9.47,26.8,20.7,0.17
BAH,28,31.0,482.2,566.3,85.1,8201.9,2800.1,219.3,240.0,91.4,211.3,235.8,89.6,38.3,61.9,61.8,1.1,1.05,0.96,0.04,10.5,36.7,8.74,2.39,44.8,7,46,42,37,28,31.0,1.35,12.8,4.55,35.4,12.84,4.55,0.1,0.29,18.0,0.61,0.03,0.03,1.33,1.3,0.11,0.03,0.02,28,31.0,566.3,518.9,45.5,15.5,1.23,4.35,16.1,16.7,4.68,1.16,2.29,0.0,482.2,1.87,8.45,28,31.0,23.7,23.71,18.2,1.77,1.03,1.35,1.13,0.26,2.52,2.52,1.94,0.1,0.23,0.19,0.06,0.0,28,31.0,15.4,9.97,7.68,6.03,1.68,7.13,15.8,45.1,8.68,8.74,2.61,6.13,8.77,24.2,19.2,0.39
BOT,37,31.0,396.4,485.8,81.6,7361.0,2730.2,160.6,182.4,88.1,183.5,208.0,88.2,44.8,73.5,61.0,1.06,1.01,0.99,0.05,11.2,35.3,8.29,2.35,41.5,1,64,49,26,37,31.0,1.58,14.1,5.23,37.1,14.1,5.23,0.1,0.28,18.2,0.48,0.13,0.19,1.45,1.3,0.09,0.14,0.15,37,31.0,485.8,437.8,46.3,12.3,1.29,2.71,19.3,18.9,5.74,1.87,2.84,0.13,396.4,1.68,9.39,37,31.0,25.5,25.45,18.1,2.74,1.29,1.94,1.19,0.23,2.71,2.71,1.71,0.29,0.13,0.35,0.16,0.06,37,31.0,16.8,11.0,8.68,6.23,1.94,7.9,15.7,50.3,7.81,9.81,3.26,6.55,8.45,25.3,21.2,0.16
COR,43,31.0,352.1,443.3,79.4,6407.5,2360.9,148.1,169.0,87.6,156.0,179.7,86.8,38.8,69.2,56.1,0.71,0.78,0.88,-0.07,10.5,30.0,7.65,2.35,36.9,15,35,35,40,43,31.0,1.13,14.3,4.58,32.1,14.29,4.58,0.07,0.22,19.5,0.81,0.13,0.16,1.18,1.05,0.08,-0.05,-0.05,43,31.0,443.3,391.0,50.7,15.5,1.29,2.97,20.6,19.9,5.52,1.48,2.84,0.19,352.1,1.65,8.84,43,31.0,25.2,25.16,17.3,2.87,1.13,1.58,1.68,0.61,2.0,2.0,1.16,0.23,0.16,0.16,0.19,0.1,43,31.0,17.2,9.97,7.74,7.32,2.16,8.68,18.6,46.5,9.97,11.9,4.03,7.84,9.35,26.6,21.1,0.19
CRI,33,31.0,317.5,410.7,77.3,5938.1,2343.4,133.0,154.2,86.3,133.9,158.9,84.3,41.6,74.5,55.8,0.77,0.75,0.85,0.03,9.87,29.2,6.97,2.29,36.0,12,37,38,44,33,31.0,1.23,13.8,4.48,32.4,13.84,4.48,0.09,0.27,19.5,0.39,0.0,0.0,1.05,1.05,0.08,0.17,0.17,33,31.0,410.7,363.2,45.7,11.7,0.77,3.65,17.6,17.5,4.58,1.94,1.74,0.16,317.5,1.87,8.52,33,31.0,23.6,23.58,16.7,2.23,1.13,1.9,1.13,0.45,2.0,2.0,1.16,0.16,0.16,0.45,0.06,0.0,33,31.0,17.0,10.5,9.32,5.77,1.94,8.61,18.4,46.9,9.74,12.3,4.19,8.1,9.0,26.0,25.7,0.23
CRU,37,31.0,396.7,489.3,81.1,6973.6,2375.4,180.2,202.8,88.9,167.2,191.9,87.1,40.0,69.3,57.8,0.77,0.63,0.65,0.14,9.29,32.4,7.39,1.94,37.5,8,44,36,33,37,31.0,1.16,12.4,4.13,33.2,12.42,4.13,0.08,0.25,19.7,0.39,0.13,0.16,1.01,0.89,0.07,0.15,0.15,37,31.0,489.3,441.3,46.6,11.9,0.55,4.19,19.0,19.9,5.32,1.58,2.58,0.1,396.7,1.45,10.0,37,31.0,22.6,22.65,17.2,1.65,1.23,1.35,0.74,0.48,1.94,1.94,1.48,0.03,0.16,0.23,0.0,0.03,37,31.0,16.6,10.8,7.03,7.26,2.35,7.87,15.4,51.0,7.55,10.6,2.84,7.77,7.9,24.5,20.1,0.42
CUI,29,31.0,331.4,416.5,79.5,6073.4,2283.3,142.0,161.4,88.0,141.4,164.0,86.2,38.8,67.4,57.6,0.45,0.56,0.54,-0.11,7.81,27.5,6.06,2.0,31.0,19,27,25,41,29,31.0,0.77,10.7,3.13,29.3,10.68,3.13,0.06,0.21,19.8,0.45,0.13,0.16,0.87,0.74,0.07,-0.09,-0.09,29,31.0,416.5,368.5,46.5,13.1,0.84,2.71,16.5,19.2,3.9,1.65,1.29,0.03,331.4,1.52,8.65,29,31.0,19.2,19.19,13.9,1.87,1.26,0.84,1.06,0.26,1.35,1.35,0.77,0.19,0.13,0.13,0.13,0.0,29,31.0,15.4,9.52,7.97,5.97,1.45,7.48,14.6,51.3,7.1,10.1,2.9,7.23,8.06,23.5,22.2,0.19
FLA,35,30.0,427.3,516.6,82.7,7417.5,2530.9,195.8,217.2,90.1,176.4,201.6,87.5,42.0,67.8,62.0,1.13,1.01,1.09,0.13,11.1,39.8,9.33,2.07,46.2,4,55,50,37,35,30.0,1.6,14.3,5.3,37.1,14.27,5.3,0.1,0.26,19.0,0.4,0.23,0.27,1.44,1.23,0.09,0.16,0.14,35,30.0,516.6,468.0,47.3,15.3,1.23,2.9,19.1,17.5,6.03,2.27,1.6,0.27,427.3,1.33,9.7,35,30.0,26.3,26.33,20.2,1.77,1.13,1.47,1.0,0.8,2.97,2.97,1.9,0.2,0.2,0.23,0.33,0.1,35,30.0,16.8,11.0,7.27,6.37,3.17,7.1,14.7,48.2,7.63,9.8,2.77,7.03,7.63,24.4,17.0,0.17
